Chữ Hán,Phiên âm,Nghĩa tiếng Việt,Luyện tập viết
爱,ài,"yêu, thích",
爱好,àihào,sở thích,
八,bā,số 8,
爸爸｜爸,bàba｜bà,"bố, ba, cha",
吧,ba,"nào, nhé, chứ, đi (trợ từ)",
白,bái,trắng,
白天,báitiān,ban ngày,
百,bǎi,một trăm,
班,bān,lớp,
半,bàn,một nửa,
半年,bàn nián,nửa năm,
半天,bàn tiān,nửa ngày,
帮,bāng,giúp đỡ,
帮忙,bāng//máng,giúp đỡ,
包,bāo,"bao, cái túi; gói, bọc",
包子,bāozi,bánh bao,
杯,bēi,"cốc, ly",
杯子,bēizi,"cốc, chén, ly",
北,běi,bắc,
北边,běibiān,phía Bắc,
北京,Běijīng,Bắc Kinh,
本,běn,"cuốn, quyển, tập",
本子,běn zi,"vở, cuốn vở",
比,bǐ,"so, so với",
别,bié,"đừng, không được",
别的,biéde,cái khác,
别人,bié·rén,"người khác, người ta",
病,bìng,bệnh,
病人,bìngrén,bệnh nhân,
不大,bú dà,"nhỏ, không lớn",
不对,búduì,không đúng,
不客气,bú kèqi,không có gì,
不用,búyòng,không cần,
不,bù,không,
菜,cài,"đồ ăn, món ăn",
差,chà,"thiếu, kém",
茶,chá,trà,
常,cháng,thường,
常常,chángcháng,thường thường,
唱,chàng,hát,
唱歌,chànggē,"hát, ca hát",
车,chē,xe,
车票,chēpiào,vé xe,
车上,chē shang,trên xe,
车站,chēzhàn,bến xe,
吃,chī,ăn,
吃饭,chī//fàn,ăn cơm,
出,chū,"ra, xuất",
出来,chūlái,"xuất hiện, đi ra",
出去,chūqù,"ra, ra ngoài",
穿,chuān,mặc,
床,chuáng,"giường, đệm",
次,cì,lần,
从,cóng,"từ, qua, theo",
错,cuò,sai,
打,dǎ,"đánh, bắt",
打车,dǎchē,bắt xe,
打电话,dǎ diànhuà,gọi điện,
打开,dǎkāi,"mở, mở ra",
打球,dǎ qiú,chơi bóng,
大,dà,"to, lớn",
大学,dàxué,đại học,
大学生,dàxuéshēng,sinh viên đại học,
到,dào,"đến, tới",
得到,dédào,"đạt được, nhận được",
的,de,(biểu thị sự sở hữu) của,
等,děng,"đợi, chờ",
地,dì,"đất, lục địa; trái đất",
地点,dìdiǎn,"địa điểm, nơi chốn",
地方,dìfang,"nơi, địa phương",
地上,dìshang,trên mặt đất,
地图,dìtú,bản đồ,
弟弟| 弟,dìdi|dì,em trai,
第（第二）,dì（dì-èr）,thứ ... (số thứ tự),
点,diǎn,"ít, chút, hơi",
电,diàn,"điện, pin.",
电话,diànhuà,điện thoại,
电脑,diànnǎo,máy tính,
电视,diànshì,truyền hình; TV,
电视机,diànshìjī,(chiếc) TV,
电影,diànyǐng,"điện ảnh, phim (nói chung)",
电影院,diànyǐngyuàn,rạp chiếu phim,
东,dōng,đông,
东边,dōngbian,phía đông,
东西,dōngxi,"đồ đạc, đồ, vật",
动,dòng,"động, chạm",
动作,dòngzuò,"động tác, hoạt động",
都,dōu,đều,
读,dú,đọc,
读书,dú//shū,đọc sách,
对,duì,đúng,
对不起,duìbuqǐ,xin lỗi,
多少,duōshǎo,bao nhiêu,
饿,è,đói,
儿子,érzi,con trai,
二,èr,số 2,
饭,fàn,cơm,
饭店,fàndiàn,quán ăn/ nhà hàng,
房间,fángjiān,căn phòng,
房子,fángzi,căn nhà/ căn hộ,
放,fàng,"thả, đặt, để",
放假,fàng//jià,"nghỉ, nghỉ định kỳ",
放学,fàng//xué,tan học,
飞,fēi,bay,
飞机,fēijī,máy bay,
非常,fēicháng,"vô cùng, hết sức, rất",
分,fēn,phút,
风,fēng,gió,
干,gān,khô,
干净,gānjìng,sạch sẽ,
干,gàn,làm,
干什么,gànshénme,làm gì đó,
高,gāo,cao,
高兴,gāoxìng,"vui vẻ, vui mừng",
告诉,gàosù,"nói, kể lại",
哥哥｜哥,gēge｜gē,anh trai,
歌,gē,bài hát,
个,gè,cái,
给,gěi,cho,
跟,gēn,"và, cùng",
工作,gōngzuò,công việc,
关（动）,guān,đóng,
关上,guānshàng,khép vào,
贵,guì,đắt,
国,guó,"đất nước, nước nhà, Tổ quốc",
国家,guójiā,"đất nước, Quốc Gia",
国外,guó wài,nước ngoài,
过,guò,"(đi) qua, (bước) qua",
还,hái,"vẫn, còn",
还是,háishi,hay là,
还有,hái yǒu,"còn có, còn nữa là",
孩子,háizi,"đứa trẻ, con (tôi)",
汉语,Hànyǔ,(ngôn ngữ) tiếng Trung,
汉字,Hànzì,chữ Hán,
好,hǎo,"tốt, đẹp",
好吃,hǎochī,ngon,
好看,hǎokàn,"đẹp, xinh, hay",
好听,hǎotīng,"êm tai, du dương, dễ nghe",
好玩儿,hǎowánr,(chơi) vui,
号,hào,ngày,
喝,hē,uống,
和,hé,và,
很,hěn,rất,
后,hòu,sau,
后边,hòubian,phía sau,
后天,hòutiān,ngày kia,
花,huā,đóa hoa,
话,huà,lời nói,
坏,huài,"xấu, hỏng",
还,huán,trả,
回,huí,"quay lại, về",
回答,huídá,trả lời,
回到,huídào,quay về,
回家,huí jiā,về nhà,
回来,huí//·lái,"về, quay về (hướng gần)",
回去,huí//·qù,"về, quay về (hướng xa)",
会,huì,"sẽ, biết làm",
火车,huǒchē,xe lửa,
机场,jīchǎng,sân bay,
机票,jīpiào,vé máy bay,
鸡蛋,jīdàn,trứng gà,
几,jǐ,"mấy, vài",
记,jì,nhớ,
记得,jìde,ghi nhớ,
记住,jìzhù,nhớ kĩ,
家,jiā,nhà,
家里,jiā lǐ,trong nhà,
间,jiān,giữa,
见,jiàn,"gặp, thấy",
见面,jiàn//miàn,gặp mặt,
教,jiāo,dạy,
叫（动）,jiào,"gọi, kêu",
教学楼,jiàoxuélóu,khu nhà dạy học,
姐姐｜姐,jiějie｜jiě,chị gái,
介绍,jièshào,giới thiệu,
今年,jīnnián,năm nay,
今天,jīntiān,ngày hôm nay,
进,jìn,vào,
九,jiǔ,số 9,
就,jiù,"đã; lập tức, ngay",
觉得,juéde,cảm thấy,
开,kāi,mở,
开车,kāi//chē,lái xe,
开会,kāi//huì,"mở họp, họp",
开玩笑,kāi wánxiào,nói đùa,
看,kàn,"nhìn, xem, ngắm",
看病,kàn//bìng,khám bệnh,
看到,kàndào,nhìn thấy,
看见,kàn//jiàn,nhìn thấy,
考,kǎo,thi,
考试,kǎo//shì,kì thi,
渴,kě,khát,
课,kè,tiết (học),
课本,kèběn,sách giáo khoa,
课文,kèwén,"bài khóa, bài đọc",
口,kǒu,lượng chỉ người trong gia đình,
块,kuài,tệ (đơn vị tiền tệ),
快,kuài,nhanh,
来,lái,"đến, tới",
来到,láidào,đến,
老,lǎo,"già, cũ, cổ",
老人,lǎorén,người già,
老师,lǎoshī,"thầy, cô giáo",
了,le,trợ từ biểu thị sự thay đổi,
累,lèi,mệt mỏi,
冷,lěng,lạnh,
里,lǐ,"trong, bên trong",
里边,lǐbian,phía trong,
两,liǎng,hai,
零|0,líng|0,số 0,
六,liù,số 6,
楼,lóu,"tầng, lầu",
楼上,lóu shàng,tầng trên,
楼下,lóu xià,tầng dưới,
路,lù,đường xá,
路上,lùshang,trên đường,
妈妈｜妈,māma｜mā,mẹ,
马路,mǎlù,"đường cái, đường quốc lộ",
马上,mǎshàng,"lập tức, ngay",
吗,ma,từ để hỏi,
买,mǎi,mua,
慢,màn,"chậm, từ từ",
忙,máng,"bận, bận rộn",
毛,máo,lượng từ,
没,méi,không,
没关系,méi guānxi,không sao,
没什么,méi shénme,không có gì,
没事儿,méi//shìr,không có việc gì,
没有,méi·yǒu,không có,
妹妹｜妹,mèimei｜mèi,em gái,
门,mén,cửa,
门口,ménkǒu,"cửa, cổng",
门票,ménpiào,vé vào cửa,
们（朋友们,men（péngyǒumen）,từ chỉ số nhiều,
米饭,mǐfàn,cơm,
面包,miànbāo,bánh mì,
面条儿,miàntiáor,mì sợi,
名字,míngzi,tên,
明白,míngbai,"biết, hiểu",
明年,míngnián,"năm sau, năm tới",
明天,míngtiān,ngày mai,
拿,ná,"lấy, cầm",
哪,nǎ,nào,
哪里,nǎ·lǐ,"đâu, ở đâu, ở chỗ nào",
哪儿,nǎr,"đâu, ở đâu",
哪些,nǎxiē,những ... nào,
那（代）,nà,"kia, ấy, vậy, vậy thì",
那边,nàbiān,bên kia,
那里,nà·lǐ,"ở đó, nơi đó",
那儿,nàr,"ở đó, nơi đó",
那些,nàxiē,"những ... ấy, những kia",
奶,nǎi,sữa,
奶奶,nǎinai,"bà nội, bà",
男,nán,nam (giới tính nam),
